codequipo,solicitante,ubicacion,municipio,provincia,lat,lon,tipoInstalacion
3240,Concello de Vilagarcía de Arousa,Pabellón da Torre,VILAGARCIA DE AROUSA,PONTEVEDRA,42.6044,-8.7533,En instalaciones deportivas
3241,Concello de Vilagarcía de Arousa,Estado Municipal de A Lomba,VILAGARCIA DE AROUSA,PONTEVEDRA,42.5880,-8.7661,En instalaciones deportivas
3242,"Regasificadora del Noroeste, S.A. (REGANOSA)",REGANOSA (acceso a la sala de control),MUGARDOS,A CORUÑA,43.4629,-8.2383,En empresa privada
3243,"Regasificadora del Noroeste, S.A. (REGANOSA)",REGANOSA (acceso al edificio de oficinas),MUGARDOS,A CORUÑA,43.4627,-8.2311,En empresa privada
3247,Colegio San Juan Bosco en la Coruña - Sociedad de San Francisco de Sales,Colegio San Juan Bosco,"CORUÑA, A",A CORUÑA,43.3730,-8.4020,En centros docentes
3249,Comunidade de Montes de Prado,Comunidade de Montes de Prado (planta baixa Meson A Xestosa),"COVELO, O",PONTEVEDRA,42.2925,-8.3050,Otros
3250,Uxío Figueroa Costas,Domicilio particular,VIGO,PONTEVEDRA,42.2059,-8.7686,Otros
3254,CUALTIS S. L. U.,Campus Universitario de Vigo - Servicio de Prevención Riesgos Laborales (en la enfermería),VIGO,PONTEVEDRA,42.1698,-8.6859,Administraciones o instituciones públicas
3256,"Xenética Fontao, S.A.","Xenética Fontao, SA (planta baja)",LUGO,LUGO,42.9738,-7.5823,En empresa privada
3263,"Residencia 3ª Edad Las Salinas, SL","Residencia 3ª edad Las Salinas, SL (entrada despacho médico)",OURENSE,OURENSE,42.3739,-7.8499,Otros
